event_id,design_id,coarse_dt_s,fine_dt_s,peak_downstream_m3_s_relative_change,maximum_storage_m3_relative_change,baseline_peak_m3_s_relative_change,overflow_change_m3,overflow_onset_change_s,overflow_classification_stable,drawdown_change_s,acceptance_stable,peak_storage_converged
100mm_front_loaded,h0.450_o40,7.5,3.75,0.0005885888961800134,0.0,0.0005885888961939944,0.01738273018071368,3.75,True,13.026079874943264,True,True
100mm_front_loaded,h0.450_o60,7.5,3.75,0.0005885888961800134,0.0,0.0005885888961939944,0.033141942307111094,0.0,True,12.961421802306461,True,True
100mm_front_loaded,h0.450_o80,7.5,3.75,0.0005885888961800134,0.0,0.0005885888961939944,0.050812465532260376,0.0,True,12.898014513594092,True,True
100mm_front_loaded,h0.450_o100,7.5,3.75,0.0005885888961800134,0.0,0.0005885888961939944,0.06887562374626555,3.75,True,12.836202635750737,True,True
100mm_front_loaded,h0.600_o40,7.5,3.75,0.0005885888961800134,0.0,0.0005885888961939944,0.019401184004323113,0.0,True,12.347137654904827,True,True
100mm_front_loaded,h0.600_o60,7.5,3.75,0.0005923904815603702,0.0,0.0005885888961939944,0.03676650775787493,3.75,True,12.276624210854692,True,True
100mm_front_loaded,h0.600_o80,7.5,3.75,0.0006221286639021274,0.0,0.0005885888961939944,0.05581301181391041,3.75,True,12.199738963687423,True,True
100mm_front_loaded,h0.600_o100,7.5,3.75,0.0008599047289029399,0.0,0.0005885888961939944,0.07506370824589226,0.0,True,12.14350385888423,True,True
100mm_front_loaded,h0.750_o40,7.5,3.75,0.00131993557338248,0.0,0.0005885888961939944,0.021102927595990195,0.0,True,11.824644684492114,True,True
100mm_front_loaded,h0.750_o60,7.5,3.75,0.0013521763307080608,0.0,0.0005885888961939944,0.03975557333305346,0.0,True,11.751905456897305,True,True
100mm_front_loaded,h0.750_o80,7.5,3.75,0.0013913962976565377,0.0,0.0005885888961939944,0.05992006003194206,0.0,True,11.673164832022564,True,True
100mm_front_loaded,h0.750_o100,7.5,3.75,0.0021293818702208507,0.0,0.0005885888961939944,0.07979423321370405,3.75,True,11.611790540041156,True,True
100mm_front_loaded,h0.900_o40,7.5,3.75,0.0006171671575257345,0.0,0.0005885888961939944,0.022520630571108313,3.75,True,11.390981222589858,True,True
100mm_front_loaded,h0.900_o60,7.5,3.75,0.0006079682707504971,0.0,0.0005885888961939944,0.04202692478111203,3.75,True,11.299280041074411,True,True
100mm_front_loaded,h0.900_o80,7.5,3.75,0.0006036210707610582,0.0,0.0005885888961939944,0.06311471067513708,3.75,True,11.234794118725233,True,True
100mm_front_loaded,h0.900_o100,7.5,3.75,0.0016129947720791315,0.0,0.0005885888961939944,0.08328663170783557,0.0,True,11.177219580407538,True,True
100mm_back_loaded,h0.150_o40,7.5,3.75,0.0007762086789773141,0.0,0.0007762086789773141,0.012229031493063758,3.75,True,16.77101923698956,True,True
100mm_back_loaded,h0.150_o60,7.5,3.75,0.0007762086789773141,0.0,0.0007762086789773141,0.02379470802503647,0.0,True,16.772465577317064,True,True
100mm_back_loaded,h0.150_o80,7.5,3.75,0.000776208678977314,0.0,0.0007762086789773141,0.03678375984895865,3.75,True,16.702578969213278,True,True
100mm_back_loaded,h0.150_o100,7.5,3.75,0.0007762086789773141,0.0,0.0007762086789773141,0.05022423082385785,3.75,True,16.638283875823134,True,True
100mm_back_loaded,h0.300_o40,7.5,3.75,0.0007762086789800275,0.0,0.0007762086789773141,0.016965309508066184,3.75,True,15.217105722109636,True,True
